Title,Source,Content,Country,Content_Type,Date
"In South Africa, using evaluation to improve government effectiveness", Web Resource,"Since 2009 the Government of South Africa has put a major emphasis on monitoring and evaluation (M&E) as a way of transforming public sector service delivery. The key champion is the newly established Department of Performance M&E (DPME), created in the Presidency. Our first priority has been to get the government to focus on a limited number of strategic priorities. We have also now developed tools for assessing the management performance of government departments, hands-on physical monitoring of services around the country through unannounced visits, and we have established an evaluation system. Two approaches currently being developed are around citizen-based monitoring and the monitoring of the performance of local government. A lot has been accomplished in the two and a half years since we were established. But what are some of the emerging lessons around building evaluation capacity?

In research undertaken by DPME 54 percent of departments reported that problems were not seen as an opportunity to learn, and 39 percent saw our work as a way of policing and controlling staff. So how do we introduce evaluation, and the use of evidence as something which will assist in getting better development outcomes in an environment where M&E is for compliance, and vertical accountability rather than managers using the information to improve their own performance?

A lot of what DPME has been doing is about supply – finding better ways to deliver better evidence about how government is performing, for Cabinet, for Parliament, and ultimately for the public. In terms of evaluations we have been building system elements, such as national evaluation plans, guidelines, standards, competences as well as developing a suite of training courses, training 300 government staff per year. Our core approach, however, is that learning happens through doing. We work with departments in evaluation processes, building both their and our capacity. This is a long-term endeavour.

We have recently started working more with the demand side of the equation. We have been building the understanding and awareness of the parliamentary committee that we report to – the Standing Committee on Appropriations - with workshops, international study tours and regular reporting. We also have been undertaking training with Members of Parliament, as well as parliamentary researchers, so that they are able to use our M&E evidence. There is a huge opportunity here for parliamentary committees to use evaluations to inform their oversight processes.

We also know that we need senior managers to support and use evaluations. Our system asks departments to submit proposals for evaluations so that they will want to use the findings. It also requires departments to produce improvement plans once evaluations are completed to ensure the findings are followed up. We have started running training for Director Generals and Deputy Director Generals to build awareness of why evidence is important.  Of course, DPME is also working with Cabinet with the aim of improving the evidence available to it for decision making. Our hope is that this will stimulate Cabinet to demand better evidence. The President is also using M&E evidence to appraise ministers.

It is critical for Parliament and the executive to see that they are on the same mission, and to find ways to work together effectively, using evaluation evidence to inform demands for improvements in performance. With partners in Mexico and Ghana, DPME organized a seven country roundtable in November about the use of evidence that also involved participants from Peru, Uganda, Benin and India. Members of Parliament and senior public servants were encouraged to attend. Those that did found it very powerful, and this is clearly a partnership we need to promote going forward.

This is a major journey we are on, and we have to build this ship as we sail, but already we have 38 evaluations completed, underway, or about to start, and hopefully many of these will help to inform how we can improve what government does and the impact it  has on citizens.
 ", ,Content Type : Blog,"January 30, 2014
"
The World Bank in Madagascar: adapting to fragility and governance challenges, Web Resource,An evaluation of the World Bank’s engagement in Madagascar during fiscal years 2007-2021 finds a Bank that is increasingly attuned to political economy risks. Yet elite capture remains difficult to overcome.,Country :  Madagascar,Content Type : Blog,"September 28, 2022
"
Connecting Budgeting and Evaluation, Web Resource,"The need for better information to support government spending decisions can be met through evaluation
", ,Content Type : Blog,"July 1, 2014
"
Ethiopia - Urban Local Government Development Project, Web Resource ,"This is the Project Performance Assessment Report for the Urban Local Government Development Project (ULGDP) in Ethiopia, which was approved by the World Bank’s Board of Executive Directors on May 29, 2008, and closed on December 31, 2014. The project’s development objective was to support improved performance in the planning, delivery, and sustained provision of priority municipal services and infrastructure by urban local governments across the country.

Ratings for Urban Local Government Development Project are as follows: Outcome was satisfactory, Risk to development outcome was negligible to low, Bank performance was satisfactory, and Borrower performance was satisfactory. Lessons from the project include: (i) There is a trade‐off between scope and development outcomes in municipal operations that use performance‐based grants. It is critical to ensure that funding is sufficient to both incentivize behavior at the city level and offer a meaningful level of technical assistance. (ii) A one‐size‐fits‐all approach is ineffective in urban development projects that target multiple cities at various stages of development. (iii) Performance‐based grants should be considered as a preferred method of intermediating intergovernmental fiscal resources to urban local governments in the context of emerging urban systems. (iv) Promoting autonomous decision making at the city level although ensuring that operational rules and supervision are in place is a necessary condition to ensuring the intended use of funds in municipal finance projects. (v) Urban development projects need to balance targeting core city administrative functions as well as improving city management and planning competencies.
",Country :  Ethiopia,Content Type : Reports,"December 27, 2018
"
Evaluation of Government Performance and Public Policies in Spain, Web Resource,"This paper covers selective aspects of Spainâs experience in evaluating government
	performance and public policies. Rather than a cohesive âevaluation system,â there is
	instead a constellation of organizations, with evaluation mandates and/or practices,
	which are not interrelated. These organizations and their respective practices have been
	evolving without coordination over the past three decades. An evaluation culture is
	slowly emerging, amid different conceptual approaches used by different organizations
	that are managing and/or conducting evaluations.",Country :  Spain,Content Type : Reports,"May 1, 2010
"
Uganda - Second Local Government Development Project (LGDP II), Web Resource ,"	This Project Performance Assessment Report covers an operation implemented over the period FY03-FY08. The project's development objective was to improve the Local Government institutional performance for sustainable, decentralized service delivery. The report presents findings based on review of the Program Documents, the Implementation Completion and Results Reports, IEG's Implementation Completion and Results Report Review, aide-memoires and supervision reports, and stakeholder interviews. This assessment aims to serve an accountability purpose by verifying whether the operation achieved its intended outcomes. The report draws lessons that are intended to inform future operations of this nature in Uganda and other low-income states.
",Country :  Uganda,Content Type : Reports,"May 8, 2014
"
"Performance in Government: The Evolving System of Performance and Evaluation Measurement, Monitoring, and Management in the United Kingdom", Web Resource,"This paper offers a brief review of the evolution of the UK governmentsâ performance
	measurement, monitoring and management systems particularly since 1997, when the
	performance measuring practice became almost universal across public activities.
	However, it also highlights the extent to which many of the changes introduced were at
	least partially prefigured in the previous two decades or more.",Country :  United Kingdom,Content Type : Reports,"September 1, 2012
"
The Canadian M&E System: Lessons Learned from 30 Years of Development, Web Resource,"This Evaluation Capacity Development (ECD) paper seeks to provide an overview of the
	Canadian model for monitoring and evaluation developed over the past three decades. The
	Canadian M&E system is one that has invested heavily in both evaluation and performance
	monitoring as key tools to support accountability and results-based management in government.
	The paper tracks the evolution of Canadaâs M&E system to its current state, identifying key
	lessons learned from public sector experience. It offers insights from officialsâ own
	perspectives, highlights key initiatives introduced to help drive the M&E system, and discusses
	the demands for public sector reforms and the emphasis they have placed on M&E in public
	sector management.",Country :  Canada,Content Type : Reports,"November 1, 2010
"
Republic of Ghana : eGhana project, Web Resource ,"This Project Performance Assessment Report (PPAR) reviews the World Bank’s eGhana Project, which was approved on August 1, 2006 at an original cost of XDR 26.90 million (US$40.0 million) from International Development Association (IDA) resources. The eGhana project responded to the Government’s request for support in implementing its agenda for Information and Communication Technology (ICT)-led growth. This project was based on sound analytical work and the Bank’s experience in Ghana and elsewhere (including the ICT development project in Sri Lanka). The project development objective was to assist the Government of Ghana to generate growth and employment by leveraging ICT and public-private partnerships to: i) develop the IT Enabled Services (ITES) industry, and ii) contribute to improved efficiency and transparency of selected government functions through e-government applications.",Country :  Ghana,Content Type : Reports,"November 17, 2016
"
Philippines - Local Government Finance & Development Project, Web Resource, ,Country :  Philippines,Content Type : Reports,"March 7, 2011
"
Sri Lanka - Community Development and Livelihood Improvement Gemi Diriya Project, Web Resource ,"This is a Project Performance Assessment of the Sri Lanka Community Development and Livelihoods Improvement project implemented between 2004 and 2010 in three of Sri Lanka's southernmost provinces. Referred to as the Gemi Diriya project--which translates as Raising the Village--the project was one of the truly participatory development programs supported by the World Bank in Sri Lanka. The overall project objective of targeting poor communities and improving their livelihood and quality of life was highly achieved. The subobjective of enabling these communities to build accountable and self-governing local instituations was substantially achieved, as was the subobjective of enabling the communities to manage sustainable investments. Efficiency is rated Modest. Risk to development outcome is rated Significant. Bank performance is rated Satisfactory. Borrower performance is rated Moderately Satisfactory. Lessons are highlighted in the PPAR.
",Country :  Sri Lanka,Content Type : Reports,"March 13, 2015
"
West Bank & Gaza - Local Government Capacity Building Project, Web Resource, ,Country :  West Bank and Gaza,Content Type : Reports,"February 19, 2014
"
Ethiopia - Urban Local Government Development Project, Web Resource,"Ratings for the Planning and
            Financial Management Capacity Building Program Project for
            Timor-Leste were as follows: outcomes were satisfactory, the
            risk to development outcome was negligible to low, the Bank
            performance was moderately satisfactory, and the Borrower
            performance was also moderately satisfactory. Some lessons
            learned included: consistency and stability of personnel are
            important. In this case, turnover of both
            consultants/advisors and task team leaders negatively
            impacted project performance at various stages of
            implementation. A modest initial project scope, producing
            quick and demonstrable wins, can be preferable to early
            ambition. In this case, the complexity of planned activities
            and results matrix overwhelmed staff with limited capacity,
            necessitating restructuring to streamline. Deliberate and
            focused attention to balancing the implementation and
            capacity building roles of external technical advisors is
            critical for long-term success. In this case, the advisors
            frequently assumed direct implementation roles in response
            to a demanding government agenda, delaying absorption of
            skills and capacity among local, permanent staff. ",Country :  Ethiopia,Content Type : Reports,"October 14, 2015
"
Program for Results: An Early Stage Assessment of the Process and Effects of a New Lending Instrument, PDF file,This evaluation assesses the early experience with the design and implementation of Program for Results (PforR) operations and identifies lessons and recommendations to strengthen this new instrument. , ,Content Type : Evaluation,"November 16, 2016
"
Mongolia - MN: SMART Government, Web Resource, ,Country :  Mongolia,Content Type : Reports,"July 31, 2023
"
Uganda - Local government development program, Web Resource, ,Country :  Uganda,Content Type : Reports,"February 3, 2005
"
Indonesia - ID-Local Government and Decentralization, Web Resource, ,Country :  Indonesia,Content Type : Reports,"August 24, 2018
"
Bangladesh - Municipal Governance and Services Proje, Web Resource, ,Country :  Bangladesh,Content Type : Reports,"May 11, 2023
"
El Salvador - SV Local Government Strengthening, Web Resource, ,Country :  El Salvador,Content Type : Reports,"January 17, 2018
"
"Egypt, Arab Republic of - Mortgage Finance Project", Web Resource ,"The Egypt Mortgage Finance Project was approved on July 6, 2006, and became
effective on May 8, 2007. The estimated project cost was US$37.1 million and the actual
cost was US$39.1 million, with the differences arising from the fluctuations of the
Egyptian pound--the currency in which the loan was denominated. The project was
closed as scheduled on July 31, 2011.
The findings in this evaluation are based on a review of the project appraisal document
(PAD), implementation completion and results report (ICR), IEG review of the ICR and
other documents from the World Bank's operations portal. In addition, IEG carried out a
mission to Egypt in March, 2015, to conduct interviews with government officials,
prudential regulators of the financial sector, primary mortgage lenders (commercial banks
and mortgage finance companies), the mortgage liquidity facility (Egypt Mortgage
Refinancing Company), staff members of the World Bank Group based in Cairo,
development partners and researchers.
", ,Content Type : Reports,"June 26, 2015
"
Moldova - Government`s Central Public Administration Reform (CPAR), Web Resource, ,Country :  Moldova,Content Type : Reports,"February 2, 2015
"
Burkina Faso - BF:Local Government Support Project, Web Resource, ,Country :  Burkina Faso,Content Type : Reports,"September 19, 2022
"
Togo - Financial Sector And Governance Project, Web Resource, ,Country :  Togo,Content Type : Reports,"June 30, 2017
"
Weighing the evidence on justice sector reform, Web Resource,"In view of the complex goals and range of stakeholders involved in justice sector reform, the Independent Evaluation Group and the World Bank reviewed evidence from past support to identify lessons on what worked, what did not, and why ongoing focus on the sector is vital.", ,Content Type : Blog,"March 15, 2023
"
Malawi - Local Government, Web Resource, ,Country :  Malawi,Content Type : Reports,"March 28, 2002
"
Malawi - Local Government, Web Resource, ,Country :  Malawi,Content Type : Reports,"March 28, 2002
"
Mozambique - Urban Rehabilitation Project and Local Government Reform and Engineering Project, Web Resource,"The Urban Rehabilitation
            Project's outcome is rated as unsatisfactory,
            sustainability as unlikely, institutional development impact
            as negligible, Bank performance as highly unsatisfactory,
            and Borrower performance as highly unsatisfactory. The Local
            Government Reform and Engineering Project's outcome is
            rated as unsatisfactory, sustainability as likely,
            institutional development impact as modest, Bank performance
            as highly unsatisfactory, and Borrower performance as highly
            unsatisfactory. The results of more than a decade of Bank
            assistance to Mozambique's cities have been
            disappointing. The Bank needs to give more attention to the
            role of cities in the country's economy and the
            government's modest yet politically significant
            decentralization reform. Continuous and rigorous oversight
            by Bank management of Bank/borrower relations is needed to
            detect and correct failings before project outcomes suffer.
            A perfunctory attitude by the Bank toward borrower reports
            of final costs, audits, and implementation completion
            reports can undermine borrower accountability and learning
            too. In order to succeed, projects in war-affected countries
            must take explicit account of the conflict. ",Country :  Mozambique,Content Type : Reports,"June 12, 2002
"
Solomon Islands : Rural Development Program, Web Resource ,The Solomon Islands Rural Development Program (Phase I) was the Bank’s first major intervention in Solomon Islands following the Tensions of 1998-2003. The project envisaged making the government more visible in rural areas of the archipelago and sought to re-energize commercial activity and opportunities for agricultural producers. The project’s objective was to take a community driven development (CDD) approach to supporting rural infrastructure and to put in place the necessary structures for CDD to be a useful mechanism for future development.,Country :  Solomon Islands,Content Type : Reports,"December 14, 2016
"
Clarification: Media Reporting on the Findings of the Independent Evaluation Group on the World Bank Group Program in Mozambique, Web Resource,"WASHINGTON - July 14, 2023 – In its report, The World Bank Group in Mozambique, Fiscal Years 2008–21, the Independent Evaluation Group neither concludes nor implies that the World Bank Group is in any way responsible for the actions of the Government of Mozambique. The report is solely focused on the actions of the World Bank Group, and is not an assessment of either the policies or actions of the Government of Mozambique. The report does not hold the World Bank Group responsible for any actions taken by the Government of Mozambique. This is the case with the 2016 financial scandal now commonly referred to as ‘Hidden Debts.’ The causes of this scandal are for the Government of Mozambique to investigate.

The report of the Independent Evaluation Group aims to draw lessons from this period to improve the support of the World Bank Group to both the people and Government of Mozambique. Two of the key findings of the report are that technical support for public financial and debt management should include a focus on governance risks in contexts characterized by powerful groups with strong vested interests, and that diagnostics are critical to inform reform programs but they require deliberate and coordinated operational follow-up. The report found that World Bank support for good governance was constant through the evaluation period, though the nature of this support changed along with changes to the country context, such as the discovery of gas deposits in 2010 and the uncovering of the hidden debt crisis in 2016. These findings and lessons are to inform future World Bank Group support to Mozambique and do not imply that the World Bank Group could in any way have influenced the decisions and actions that led to the ‘Hidden Debts’ scandal, as reported by media following the presentation of the findings of the report at a workshop at the Montebelo Indy Maputo Congress Hotel in Maputo on July 12, 2023. The causes of the scandal are for the Government of Mozambique alone to determine.

Contacts:

In Washington, D.C.: William Stebbins, (240) 393-3487, wstebbins@worldbank.org
 ",Country :  Mozambique,Content Type : News,"July 14, 2023
"
Strengthening Fiscal Decentralization and Increasing Access to Urban Infrastructure and Services - Five Lessons from Tanzania , Web Resource,This brief captures the lessons learned from evaluating the World Bank’s Tanzania Local Government Support Project (LGSP).  ,Country :  Tanzania,Content Type : News,"January 11, 2016
"
Mozambique - Local government reform and engineering, Web Resource, ,Country :  Mozambique,Content Type : Reports,"February 29, 2000
"
Rwanda - Governance & Competitiveness TA Proj, Web Resource, ,Country :  Rwanda,Content Type : Reports,"March 20, 2017
"
India - MP Citizen Access to Responsive Services, Web Resource, ,Country :  India,Content Type : Reports,"January 11, 2023
"
Rwanda - Urban Infrastructure and City Management Project (UICMP), Web Resource ,"This Project Performance Assessment Report reviews the Rwanda Urban Infrastructure and City Management Project (UICMP). The project was approved on November 10, 2005 and became effective on June 2, 2006. The project’s original closing date of March 31, 2009, was extended by nine months to December 31, 2009. The project was financed by an International Development Association (IDA) grant ($20 million) and a Professional Human Resource Development grant ($0.46 million), and contributions from the government of Rwanda ($2.6 million). The Nordic Development Fund provided parallel financing ($6.4 million). The project development objective (PDO) was to increase access to urban infrastructure and services in the primary city of Kigali and the two secondary cities of Butare and Ruhengeri through physical investment and upgrading and improved management tools.

Ratings for this project are as follows: Outcome was satisfactory, Risk to development outcome was moderate, Bank performance was satisfactory, and Borrower performance was satisfactory. Main lessons from this operation are as follows: (i) The World Bank’s absence in a sector creates knowledge and implementation gaps for both World Bank and client, requiring significant catch-up transaction costs. (ii) Using a delegated management agency to address the weak implementation capacity of local governments requires a focus on building such capacity and a clear exit strategy to ensure long-term sustainability. (iii) To maximize learning from pilot project components, their lessons should be documented and disseminated to inform the future work of the World Bank and government.
",Country :  Rwanda,Content Type : Reports,"December 20, 2018
"
West Bank and Gaza - Local Governance Services Improvement, Web Resource, ,Country :  West Bank and Gaza,Content Type : Reports,"January 12, 2023
"
Results and Performance of the World Bank Group (RAP) 2011, PDF file,"The WBG‘s response to recent disasters and global economic crises has been striking, but a greater emphasis is needed by everyone on preparedness.
 ", ,Content Type : Evaluation,"January 18, 2012
"
Togo - Economic Recovery & Governance Grant 4, Web Resource, ,Country :  Togo,Content Type : Reports,"January 9, 2013
"
Lao People’s Democratic Republic : sustainable forestry for rural development project, Web Resource ,"Ratings for the Sustainable Forestry for Rural Development Project are as follows: Outcome is moderately unsatisfactory, Risk to development outcome is high, Bank performance is moderately unsatisfactory, and Borrow performance is moderately unsatisfactory. Lessons from the project include: (i) A pattern of weak government commitment to increasing citizen’s natural resource rights exists in Lao PDR. (ii) Villagers who are denied secure community tenure and rights to forest resources are unlikely to commit to sustainable forest management. (iii) The zoning of natural forest may fail to reflect variations in the richness of the resource, so the area earmarked for sustainable management may be unrealistically large, stretching administrative resources too thin. (iv) Zoning and the preparation of management plans for specific forest tracts are important first steps but they are not, in themselves, sufficient evidence that sustainable forest management is being implemented. ", ,Content Type : Reports,"May 3, 2018
"
Ghana - Local Government Development, Web Resource, ,Country :  Ghana,Content Type : Reports,"January 7, 2004
"
Tanzania - Local Government Support Project, Web Resource, ,Country :  Tanzania,Content Type : Reports,"March 25, 2014
"
West Bank and Gaza - GZ:Government Services for Business Dev., Web Resource, ,Country :  West Bank and Gaza,Content Type : Reports,"March 27, 2017
"
Cambodia - Rural Investment And Local Governance Project, Web Resource, ,Country :  Cambodia,Content Type : Reports,"December 27, 2012
"
Sao Tome & Principe - Public Management And Governance, Web Resource, ,Country :  Sao Tome and Principe,Content Type : Reports,"May 2, 2013
"
Haiti - Economic Governance Reform Operation II, Web Resource, ,Country :  Haiti,Content Type : Reports,"May 9, 2011
"
Central African Republic - Economic Governance And Reform Grant 2, Web Resource, ,Country :  Central African Republic,Content Type : Reports,"April 25, 2011
"
Lithuania - Vilnius Heat Demand Management Gef Project, Web Resource, ,Country :  Lithuania,Content Type : Reports,"January 7, 2010
"
Madagascar - Second Phase of Governance and Institutional Development Project, Web Resource,"Ratings for the Planning and
            Financial Management Capacity Building Program Project for
            Timor-Leste were as follows: outcomes were satisfactory, the
            risk to development outcome was negligible to low, the Bank
            performance was moderately satisfactory, and the Borrower
            performance was also moderately satisfactory. Some lessons
            learned included: consistency and stability of personnel are
            important. In this case, turnover of both
            consultants/advisors and task team leaders negatively
            impacted project performance at various stages of
            implementation. A modest initial project scope, producing
            quick and demonstrable wins, can be preferable to early
            ambition. In this case, the complexity of planned activities
            and results matrix overwhelmed staff with limited capacity,
            necessitating restructuring to streamline. Deliberate and
            focused attention to balancing the implementation and
            capacity building roles of external technical advisors is
            critical for long-term success. In this case, the advisors
            frequently assumed direct implementation roles in response
            to a demanding government agenda, delaying absorption of
            skills and capacity among local, permanent staff. ",Country :  Madagascar,Content Type : Reports,"October 9, 2015
"
Nigeria - Federal Government Economic Reform And Governance Project, Web Resource, ,Country :  Nigeria,Content Type : Reports,"February 9, 2015
"
Togo - Economic Recovery And Governance Grant 3, Web Resource, ,Country :  Togo,Content Type : Reports,"October 28, 2011
"
Comoros - KM-Economic Governance TAL, Web Resource, ,Country :  Comoros,Content Type : Reports,"December 18, 2017
"
Egypt - Mortgage Finance, Web Resource, , ,Content Type : Reports,"June 12, 2012
"
Uganda - Second Local Government Development Project, Web Resource, ,Country :  Uganda,Content Type : Reports,"September 30, 2008
"
Uganda - Local Government Management And Services Delivery Project, Web Resource, ,Country :  Uganda,Content Type : Reports,"November 24, 2014
"
"The World Bank Group in Mozambique, Fiscal Years 2008–21", Web Resource,"This evaluation assesses the development effectiveness of the World Bank Group’s engagement with Mozambique during Fiscal Years 2008-21.
 ",Country :  Mozambique,Content Type : Reader publication,"March 20, 2023
"
Argentina - AR - PS Modernization and Innovation, Web Resource, ,Country :  Argentina,Content Type : Reports,"March 7, 2023
"
Pakistan - KP/FATA Governance Project, Web Resource, ,Country :  Pakistan,Content Type : Reports,"June 26, 2017
"
Rwanda - Decentralization and Community Development Project, Web Resource ,"This Project Performance Assessment Report covers the Decentralization and Community Development Project in the Republic of Rwanda. The objective of the project was to boost the emergence of a dynamic local economy through empowerment of communities to lead their own development process under effective local government.
	
	This review finds that the project development objective was highly relevant to the three policy reforms that were aimed at empowering district level governments, among other things: the Decentralization Policy, the Community Development Policy and Strategy and the Fiscal Decentralization Policy. At appraisal, the DCDP objective was highly relevant. At closing, the project's development objective remains relevant to the government's Economic Development and Poverty Reduction Strategy and to the Bank's Country Assistance Strategy (FY09-12).
	
	The project's design was also substantially relevant.The project's development objective was achieved substantially. Efficiency is rated Modest. Overall, outcome is rated Moderately Satisfactory.The quality of the monitoring and evaluation is rated Modest.The risk to development outcome is rated Moderate. Bank performance at supervision is also rated Moderately Satisfactory.
	
	Government performance is rated Satisfactory. The Implementing Agency performance is also rated Satisfactory. IEG provides three lessons from this evaluation.
",Country :  Rwanda,Content Type : Reports,"June 22, 2015
"
